ID	Type	Name	URL
PJM	BA	PJM Interconnection, LLC	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/PJM.xlsx
DOPD	BA	PUD No. 1 of Douglas County	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/DOPD.xlsx
PACE	BA	PacifiCorp East	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/PACE.xlsx
PACW	BA	PacifiCorp West	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/PACW.xlsx
PGE	BA	Portland General Electric Company	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/PGE.xlsx
AEC	BA	PowerSouth Energy Cooperative	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/AEC.xlsx
PSCO	BA	Public Service Company of Colorado	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/PSCO.xlsx
PNM	BA	Public Service Company of New Mexico	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/PNM.xlsx
CHPD	BA	Public Utility District No. 1 of Chelan County	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/CHPD.xlsx
GCPD	BA	Public Utility District No. 2 of Grant County, Washington	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/GCPD.xlsx
PSEI	BA	Puget Sound Energy, Inc.	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/PSEI.xlsx
SRP	BA	Salt River Project Agricultural Improvement and Power District	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/SRP.xlsx
SCL	BA	Seattle City Light	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/SCL.xlsx
SEC	BA	Seminole Electric Cooperative	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/SEC.xlsx
SC	BA	South Carolina Public Service Authority	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/SC.xlsx
SEPA	BA	Southeastern Power Administration	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/SEPA.xlsx
SOCO	BA	Southern Company Services, Inc. - Trans	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/SOCO.xlsx
SWPP	BA	Southwest Power Pool	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/SWPP.xlsx
SPA	BA	Southwestern Power Administration	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/SPA.xlsx
TEC	BA	Tampa Electric Company	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/TEC.xlsx
TVA	BA	Tennessee Valley Authority	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/TVA.xlsx
TEPC	BA	Tucson Electric Power	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/TEPC.xlsx
TIDC	BA	Turlock Irrigation District	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/TIDC.xlsx
NSB	BA	Utilities Commission of New Smyrna Beach	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/NSB.xlsx
WALC	BA	Western Area Power Administration - Desert Southwest Region	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/WALC.xlsx
WACM	BA	Western Area Power Administration - Rocky Mountain Region	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/WACM.xlsx
WAUW	BA	Western Area Power Administration - Upper Great Plains West	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/WAUW.xlsx
